mi nelci lo nu do dansu	I like you dancing.
xu do gleki lo nu do pilno lo skami	Are you happy of using a computer?
do djica lo nu mi citka lo plise xu	Do you want me to eat an apple?
lo nu klama ti cu nabmi	Coming here is a problem.
mi djica lo nu do gleki	I want you to be happy.
mi pinxe ca lo nu do klama	I drink while you are coming.
mi citka ba lo nu mi dansu	I eat after I dance.
lo mlatu cu pinxe lo ladru	Cats drink milk.
lo mlatu ca pinxe lo ladru	Cats drink milk (at present).
lo mlatu pu pinxe lo ladru	Cats drank milk.
lo mlatu ba pinxe lo ladru	Cats will drink milk.
lo nicte cu pluka	The night is pleasant.
ba lo nicte cu pluka	After the night it is pleasant.
lo nicte cu ba pluka	The night will be pleasant.
mi pu citka ba lo nu mi dansu	I ate after I danced.
mi pu co'a cikna	I woke up
lo mlatu ca ca'o pinxe lo ladru	Cats (at present) are drinking milk.
lo mlatu ca mo'u pinxe lo ladru	Cats have drunk milk.
lo mlatu ca ta'e pinxe lo ladru	Cats (habitually, sometimes) drink milk.
lo mlatu pu mo'u pinxe lo ladru	Cats had drunk milk.
lo mlatu ba mo'u pinxe lo ladru	Cats will have drunk milk.
mi pu ze'a sipna	I slept for a while.
mi pu sipna ze'a lo nicte	I slept through the night. I slept all night.
mi pu sipna ze'i lo nicte	I slept through the short night.
mi pu sipna ca lo nicte	I slept at night.
mi pinxe ri'a lo nu mi taske	I drink because I am thirsty.
mi citka ri'a lo nu mi xagji	I eat because I am hungry.
mi klama fa'a do to'o lo mlatu	I go to you from a cat.
mi cadzu bu'u lo tcadu	I walk in the city.
lo pa mlatu cu plipe fa'a mi ca lo nu do ca'o klama	A cat jumps towards me when you are coming.
lo pa mlatu cu plipe ca lo nu do ca'o klama vau fa'a mi	A cat jumps (when you are coming) towards me.
lo pa mlatu cu plipe ca lo nu do ca'o klama fa'a mi	A cat jumps (when you are coming towards me).
mi ca gleki lo nu do viska lo tsani	I am happy that you see the sky.
xu lo mlatu pu ca'o zvati lo zdani	Were cats staying at home?
do pu citka lo plise ba lo nu mi pinxe lo ladru	You ate an apple after I drank the milk.
ko catlu fa'a lo canko	Look towards the window.
xu do gleki ca lo nu do ca'o cadzu bu'u lo purdi	Are you happy when you are walking in the garden?
ca lo nu mi klama lo zdani vau do pinxe lo tcati ri'a lo nu do taske	When I go home you drink tea because you are thirsty.
do ba viska lo solri	You will see the sun.
do ca jimpe lo nu ba carvi	You understand that it will rain.
ko sutra bajra to'o lo fagri	Quickly run away from the fire!
mi'ai pu ca'o zvati lo zdani ca lo nu carvi	We were staying at home when it was raining.
mi na nelci do	I don't like you.
mi ja'a nelci do	I do like you.
la .bob. cu tcidu	Bob reads/is reading.
la .bob.djonson. cu tcidu	Bob Johnson reads/is reading.
la .lojban. cu bangu mi	I speak Lojban.
la .alis.	Alice
la .bob.	Bob
la .ian.	Yan or Ian
la .doris.	Doris
la .kevin.	Kevin
la .adam.	Adam
la .meilis.	Mei Li
la .abdul.	Abdul
la .al.	Ali
la .micel.	Michelle
la .edvard.	Edward
la .lukas.	Lucas
la alis cu klama lo zarci i le fetsi cu xagji	Alice is going to a shop. She is hungry.
la alis cu viska la doris i le fetsi cu melbi	Alice can see Doris. She (Doris) is beautiful.
coi do	Hello you.
cerni coi	Good morning!
vanci coi	Good evening!
donri coi	Good day!
nicte coi	Nightly greetings!
nicte co'o	Goodnight!
pluka nicte di'ai	Pleasant night!
di'ai do	Good luck to you!
mi'e la .doris.	I'm Doris. This is Doris speaking.
mi cliva doi la .robert.	I'm leaving, Robert.
mi cliva la .robert.	I'm leaving Robert.
ki'e do do pu sidju mi	Thank you, you helped me.
je'e do	Not at all.
coi .i xu do kanro	Hello. How do you do?
coi do mi djica lo nu do sidju mi	Hello. I want you to help me.
coi do la .alis. la .doris. pu cliva	Hello! Alice left Doris.
coi la .alis. la .doris. pu cliva	Hello, Alice! Doris's just left.
.ui coi do la .alis. la .doris. pu cliva	Yay, Hello! Alice left Doris.
cerni coi la .alis.	Good morning, Alice.
mi ba sipna	I will sleep.
pluka nicte di'ai	Good night.
mi'e la .adam. i mi nelci lo nu mi ca'o tavla do	I am Adam. I like that I am talking to you.
doi lo mamta mi ba citka lo plise	Mommy, I will eat an apple.
xu do cliva .i co'o do	You leave? Goodbye.
